39,580,salsa3,al110453,37999/01309,II,---,24/01/2022,25/01/2022,1,14,2.36,8,1.25,0.90,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.9016666666666667
38,581,salsa3,al110453,37999/01309,II,---,24/01/2022,25/01/2022,1,5,0.91,2,11.00,0.96,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
37,582,salsa3,al110453,37999/01309,II,---,24/01/2022,25/01/2022,1,5,1.25,2,15.00,0.95,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
35,583,salsa3,al110453,37999/01309,II,---,24/01/2022,25/01/2022,1,5,1.71,2,21.00,0.93,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
34,584,salsa3,al110453,37999/01309,II,---,24/01/2022,26/01/2022,2,5,3.00,2,36.00,1.88,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.875
166,353,salsa3,al110453,37999/01309,V,---,06/01/2022,07/01/2022,1,3,22.54,182,1.27,0.06,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.06083333333333337
162,354,salsa3,al110453,37999/01309,V,---,06/01/2022,07/01/2022,1,3,9.19,182,0.52,0.62,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
160,355,salsa3,al110453,37999/01309,V,---,06/01/2022,08/01/2022,2,3,9.26,182,0.52,1.61,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.6141666666666666
158,356,salsa3,al110453,37999/01309,V,---,06/01/2022,08/01/2022,2,3,9.40,182,0.53,1.61,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
98,496,salsa3,al110453,37999/01309,V,---,14/01/2022,17/01/2022,3,6,0.92,3,9.00,2.96,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,3,2.9616666666666664
97,497,salsa3,al110453,37999/01309,V,---,14/01/2022,17/01/2022,3,6,3.64,3,36.00,2.85,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
106,490,salsa3,al110453,37999/01309,V,---,14/01/2022,17/01/2022,3,5,0.75,3,9.00,2.97,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
105,491,salsa3,al110453,37999/01309,V,---,14/01/2022,17/01/2022,3,5,0.36,3,4.00,2.98,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
104,492,salsa3,al110453,37999/01309,V,---,14/01/2022,17/01/2022,3,6,1.28,3,13.00,2.95,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
102,493,salsa3,al110453,37999/01309,V,---,14/01/2022,17/01/2022,3,6,1.05,1,10.00,2.96,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
101,494,salsa3,al110453,37999/01309,V,---,14/01/2022,17/01/2022,3,5,0.36,3,4.00,2.98,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
100,495,salsa3,al110453,37999/01309,V,---,14/01/2022,17/01/2022,3,5,0.36,3,4.00,2.98,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
194,390,corte,al109578,37023/01820,V,---,31/12/2021,02/01/2022,2,14,38.35,25,0.78,0.40,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_MACHINE_LEARNING,2,0.4020833333333333
192,391,corte,al109578,37023/01820,V,---,31/12/2021,03/01/2022,3,4,11.07,25,0.79,2.54,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_MACHINE_LEARNING,1,0.53875
40,594,corte,al109578,37023/01820,V,---,25/01/2022,25/01/2022,0,2,1.84,13,0.31,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_MACHINE_LEARNING,0,0
41,576,tango,al120383,38199/01715,II,---,25/01/2022,25/01/2022,0,5,1.57,33,0.58,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_STORE_BILA,0,0
180,422,tritonctl,al125848,32401/38821,V,---,05/01/2022,05/01/2022,0,23,9.99,4,0.96,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
42,571,tritonctl,al125848,32499/01951,V,---,21/01/2022,25/01/2022,4,20,10.70,5,0.94,3.55,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,4,3.5541666666666667
