140,316,ev2prb60,al111016,37999/01556,VI,---,15/12/2021,15/12/2021,0,3,3.77,79,0.58,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
27,425,ev2prb60,al111016,37999/01556,VI,---,22/12/2021,23/12/2021,1,7,6.09,126,0.69,0.75,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
74,214,mtblanc60,al002557,37999/01739,IV,---,16/12/2021,19/12/2021,3,1,0.63,16,0.29,2.97,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,3
31,351,mtblanc80,al002557,37999/01739,IV,---,16/12/2021,22/12/2021,6,5,49.29,62,1.80,3.95,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,3
270,099,mtblanc80,al002557,37999/01739,V,---,29/11/2021,05/12/2021,6,4,82.68,62,1.53,2.56,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,6
247,188,mtblanc80,al002557,37999/01739,V,---,06/12/2021,07/12/2021,1,1,20.77,62,1.54,0.13,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
206,224,mtblanc60,al002557,37999/01739,V,---,09/12/2021,09/12/2021,0,1,1.87,20,0.53,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
224,210,mtblanc80,al002557,37999/01739,V,---,07/12/2021,09/12/2021,2,1,20.57,62,1.53,1.14,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
208,227,mtblanc60,al002557,37999/01739,V,---,09/12/2021,10/12/2021,1,1,2.83,20,0.80,0.88,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
210,226,mtblanc60,al002557,37999/01739,V,---,09/12/2021,10/12/2021,1,1,1.96,20,0.55,0.92,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
212,225,mtblanc60,al002557,37999/01739,V,---,09/12/2021,10/12/2021,1,1,1.99,20,0.56,0.92,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
113,322,mtblanc60,al002557,37999/01739,V,---,13/12/2021,16/12/2021,3,1,2.42,66,0.60,2.90,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
117,321,mtblanc60,al002557,37999/01739,V,-P-,13/12/2021,16/12/2021,3,1,1.46,39,0.62,2.94,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
119,320,mtblanc60,al002557,37999/01739,V,-P-,13/12/2021,16/12/2021,3,1,1.25,66,0.22,2.95,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
124,223,mtblanc80,al002557,37999/01739,V,---,09/12/2021,16/12/2021,7,5,41.93,62,1.53,5.25,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0
